Date;Sinoptik;Wunderground;Gismeteo;Meteoprog;Accuweather;DarkSky;
2017-02-20;7;;;;;;
2017-02-21;7;;;;;;
2017-02-22;7;;;;;;
2017-02-23;5;;;;;;
2017-02-24;3;;;;;;
2017-02-25;3;;;;;;
2017-02-26;7;;;;;;
2017-02-27;7;;;;;;
2017-03-12;5;4,6;;;;;
2017-03-13;6;7,1;3;;;;
2017-03-14;9;8,6;8;;;;
2017-03-15;8;9,1;9;;;;
2017-03-16;9;;9;;;;
2017-03-17;7;;7;;;;
2017-03-19;4;;4;4;;;
2017-03-22;8;10,3;9;8;8;10,6;
2017-03-23;8;11,5;9;9;7,8;10,04;
2017-03-24;8;9,5;8;9;7,5;9,7;
2017-03-25;9;9,9;8;10;7,1;12,02;
2017-03-26;11;11;9;12;8,1;12,76;
2017-03-27;11;7,6;8;13;9,3;13,38;
2017-03-28;10;8,6;7;9;10,2;10,67;
2017-03-29;8;6,1;6;8;7,9;9,2;
2017-03-30;7;7,3;6;8;6,7;9,95;
2017-03-31;16;19,1;16;15;9,4;16,17;
2017-04-01;14;14,5;13;11;13,9;11,88;
2017-04-02;13;14,5;12;12;10,8;10,83;
2017-04-03;11;12,2;9;11;10,2;11,68;
2017-04-04;12;13,1;11;12;8,6;13,18;
2017-04-05;9;11,5;10;7;10,8;9,56;
2017-04-06;9;11,5;9;10;8,6;11,39;
2017-04-07;11;9,7;11;13;8,6;15,16;
2017-04-08;10;;10;11;10,8;14,63;
2017-04-09;13;;12;13;10;14,75;
2017-04-10;11;;10;11;11,3;12,29;
2017-04-11;8;;8;9;10,2;9,07;
2017-04-12;9;;10;9;8,4;10,98;
2017-04-13;9;;9;10;9,1;10,91;
2017-04-14;9;;9;9;8,8;9,89;
2017-04-15;7;;5;7;8,9;9,64;
2017-04-21;10;11,2;10;10;9,4;10,06;
2017-04-22;9;10,7;9;9;9,1;9,84;
2017-04-23;7;9,4;7;8;8,8;8,3;
2017-04-24;8;8,8;9;7;7,6;8,92;
2017-04-25;7;9,3;7;8;8,3;8,22;
2017-04-26;8;12,1;9;8;7,3;8,69;
2017-04-27;9;10,8;9;10;7,9;10,3;
2017-04-28;7;8,5;8;10;8;10,37;
2017-04-29;8;9,9;10;10;8,2;11,29;
2017-04-30;9;13,7;10;10;8,9;10,86;
2017-05-01;10;14,7;11;11;9,8;11,77;
2017-05-02;11;17,2;12;13;10,7;13,02;
2017-05-03;12;19,5;14;13;12,8;13,42;
2017-05-04;13;16,8;13;14;14,1;13,54;
2017-05-05;12;14,6;13;15;13,5;14,92;
2017-05-06;17;20,9;15;17;14,1;16,51;
2017-05-07;13;16;10;17;13,8;17,13;
2017-05-08;8;12;10;10;13,4;11,27;
2017-05-09;10;14,1;9;10;9,8;12,66;
2017-05-10;8;7,2;8;8;8,8;11,83;
2017-05-11;9;9,3;9;10;8,1;13,46;
2017-05-12;14;16,4;13;15;10;16,14;
2017-05-13;16;20,7;16;13;13,3;14,68;
2017-05-14;18;22,1;17;17;15,6;18,41;
2017-05-15;16;15,7;15;16;15,4;16,31;
2017-05-16;15;;14;17;13,6;14,22;
2017-05-27;24;;23;24;;23,72;
2017-05-29;19;16,6;17;16;;18,41;
2017-05-30;21;18,6;21;20;;21,34;
2017-05-31;15;15,7;15;14;;17,48;
2017-06-01;15;17,8;16;18;;18,31;
2017-06-02;17;17,7;17;19;;20,06;
2017-06-03;19;19,2;20;20;;20,32;
2017-06-04;16;16;16;15;;17,96;
2017-06-05;17;18,8;17;18;;19,79;
2017-06-06;19;21,3;19;22;;21,74;
2017-06-07;14;16,6;15;15;;17,66;
2017-06-08;15;16,3;16;16;;17,94;
2017-06-09;19;19,9;20;21;;21,68;
2017-06-10;18;;17;19;17,7;19,82;
2017-06-22;15;;16;19;17,2;17,73;
2017-06-23;17;;17;16;17,3;18,34;
2017-07-13;17;;17;20;18,1;18,99;
2017-07-14;17;;17;19;18,1;19,85;
2017-07-22;19;21;21;20;20,4;21,9;
2017-07-23;18;20,7;20;18;21,2;22,24;
2017-07-24;19;17,6;19;20;18,6;21,91;
2017-07-25;19;18;20;19;18,5;20,48;
2017-07-26;19;19,8;19;17;20,2;19,91;
2017-07-27;20;21,2;21;20;20,3;22,28;
2017-07-28;18;20,7;17;18;19,7;19,57;
2017-07-29;18;17,5;16;15;18,3;21,12;
2017-07-30;20;19,2;22;22;19,4;24,22;
2017-07-31;20;20,1;20;20;22,2;21,57;
2017-08-01;20;22,2;21;23;20,1;20,95;
2017-08-02;20;21,9;20;20;20,5;21;
2017-08-03;17;17,9;18;16;20;19,7;
2017-08-04;19;19,9;19;18;19,2;18,73;
2017-08-05;18;18,9;18;19;19;18,81;
2017-08-06;18;19,5;17;19;19;18,06;
2017-08-07;19;20,4;19;20;18,2;19,64;
2017-08-08;22;;22;22;19,8;20,83;
2017-08-21;19;19,9;18;19;18,5;18,16;
2017-08-22;18;20;17;18;18,3;19,49;
2017-08-23;19;18,4;19;20;18,5;20,57;
2017-08-24;18;19;18;20;18;19,93;
2017-08-25;19;19,7;19;19;19,5;20,76;
2017-08-26;19;18,7;19;20;18,6;20,82;
2017-08-27;18;19,3;18;19;18,8;19,81;
2017-08-28;19;20,1;18;20;17,6;20,06;
2017-08-29;21;21,1;21;22;18,7;23,26;
2017-08-30;18;18,2;17;18;22,3;17,89;
2017-08-31;19;18;20;17;19,4;17,7;
2017-09-01;17;17,6;17;18;18,1;16,13;
2017-09-02;16;17,5;16;19;17,3;15,37;
2017-09-03;17;17,2;17;19;16,7;16,43;
2017-09-04;16;15,5;15;17;17,4;16,8;
2017-09-05;18;17,1;18;19;16,8;17,76;
2017-09-06;17;17,3;17;17;18,8;16,67;
2017-09-07;15;14;15;14;17,1;14,59;
2017-09-08;15;14,8;15;15;15;15,13;
2017-09-09;16;16,3;16;18;16,1;18,17;
2017-09-10;17;17,1;17;18;16,7;18,38;
2017-09-11;14;14,6;15;15;17,5;16,48;
2017-09-12;17;17;17;17;15,8;16,58;
2017-09-13;13;13,5;13;13;16,4;15,23;
2017-09-14;14;;15;14;14,8;14,84;
2017-09-25;17;17,4;17;18;17;17,28;
2017-09-26;17;17,5;17;19;17;16,97;
2017-09-27;18;18,5;18;19;17,1;17,71;
2017-09-28;16;16,2;16;16;17,7;14,84;
2017-09-29;17;16,9;16;17;15,4;17,57;
2017-09-30;16;16;15;16;17;15,61;
2017-10-01;13;11,4;12;13;15,6;14,14;
2017-10-02;13;12,6;12;13;13,5;14,26;
2017-10-03;14;15;15;15;15,4;15,13;
2017-10-04;12;10,3;12;13;14,6;13,04;
2017-10-05;12;11,9;11;13;12,4;13,61;
2017-10-06;13;13,4;14;13;12,5;12,5;
2017-10-07;10;;10;11;13,7;11,43;
2017-10-08;11;10,7;11;11;11,8;10;
2017-10-09;11;11,3;11;12;11,4;11,91;
2017-10-10;11;12,2;11;12;12;10,74;
2017-10-11;12;13,4;12;13;12,1;13,35;
2017-10-12;13;12,1;12;13;14,3;12,69;
2017-10-13;14;14,8;14;14;13,2;14,67;
2017-10-14;16;15,8;16;16;13,9;16,69;
2017-10-15;16;15,5;17;15;16,2;16,82;
2017-10-16;17;14,4;16;17;16,1;18,08;
2017-10-17;16;15,2;16;16;14,8;16,61;
2017-10-18;14;11,8;13;14;15,5;14,77;
2017-10-19;12;11,4;12;12;13,8;12,67;
2017-10-20;14;11,8;14;14;12,3;13,64;
2017-10-21;12;11,4;13;13;13,9;13,82;
2017-10-22;12;11,9;13;12;13,3;13,17;
2017-10-23;10;9,3;9;12;12,5;11,6;
2017-10-24;11;8,6;11;10;10,7;10,56;
2017-10-25;13;11,8;15;13;12;13,66;
2017-10-26;12;12,8;13;13;14;11,77;
2017-10-27;10;7,7;10;11;12,5;9,8;
2017-10-28;11;11,6;12;11;10,8;10,85;
2017-10-29;7;8,7;8;8;12,8;8,93;
2017-10-30;6;6,9;7;7;9;8,21;
2017-10-31;8;9,2;9;9;7,4;8,52;
2017-11-01;13;11,9;13;12;10,3;11,6;
2017-11-02;11;9,4;11;11;12,6;11,61;
2017-11-03;9;9,9;10;10;11,4;10,21;
2017-11-04;11;10;10;11;9,1;9,92;
2017-11-05;11;9,7;11;11;11,2;10,81;
2017-11-06;9;9,3;9;10;11,1;9,24;
2017-11-07;8;9,4;9;8;9,5;8,12;
2017-11-08;8;7,8;9;8;9,1;8,76;
2017-11-09;9;7,6;8;8;9,5;8,17;
2017-11-10;8;8,7;7;9;9,8;7,28;
2017-11-11;6;7,3;6;7;8,5;6,57;
2017-11-12;8;6,8;8;8;7,5;6,74;
2017-11-13;5;5,3;5;6;8,5;4,49;
2017-11-14;6;5,3;6;6;5,9;7,73;
2017-11-15;9;8,1;9;9;8,5;9,16;
2017-11-16;8;7,2;8;8;9,5;8,48;
2017-11-17;8;8,7;8;8;8,8;7,29;
2017-11-18;6;3,8;5;7;8,4;6,03;
2017-11-19;5;3,7;5;5;7;5,36;
2017-11-20;4;4,9;5;4;6,1;3,12;
2017-11-21;4;1,6;4;4;3,6;3,66;
2017-11-22;11;9,7;11;8;4,4;9,96;
2017-11-23;9;10,2;9;8;10,6;9,73;
2017-11-24;7;6,2;8;6;9,8;6,32;
2017-11-25;5;2,2;5;5;7,4;4,48;
2017-11-26;5;4,6;5;6;5,9;6,11;
2017-11-27;5;4,1;5;6;6,7;5,61;
2017-11-28;6;4,6;5;6;6;5,6;
2017-11-29;4;4,2;4;4;6;4,11;
2017-11-30;2;1,5;2;2;4,3;1,31;
2017-12-01;2;3,5;3;2;3,5;0,84;
2017-12-02;3;3,3;4;4;3;4,82;
2017-12-03;6;5,7;7;6;5,2;5,98;
2017-12-04;5;6,3;6;4;7;4,16;
2017-12-05;7;6,9;8;8;5,6;7,61;
2017-12-06;9;7,8;8;9;8,2;7,76;
2017-12-07;6;5,4;6;6;8;6,83;
2017-12-08;5;4,9;5;5;6,9;5,27;
2017-12-09;4;5,2;5;4;5,5;4,13;
2017-12-10;2;1,1;2;2;5,3;1,77;
2017-12-11;1;0,5;1;2;2,6;1,27;
2017-12-12;2;0,7;2;4;3,1;2,05;
2017-12-13;2;2,1;2;2;3,4;2,82;
2017-12-14;4;1,9;3;4;3,5;4,12;
2017-12-15;3;2,3;3;4;4,3;4,23;
2017-12-16;2;3;2;1;3,8;1,42;
2017-12-17;1;0,2;2;1;2,7;0,75;
2017-12-18;3;;2;3;1,8;1,92;
2017-12-19;2;;;;;;
2017-12-20;5;;;;;;
2017-12-21;6;5,6;6;6;6,2;6,49;
2017-12-22;6;4,8;6;6;6,2;4,76;
2017-12-23;8;7,8;8;9;5,7;7,69;
2017-12-24;8;7,5;8;9;8,2;8,04;
2017-12-25;8;7,8;8;9;7,9;7,53;
2017-12-26;6;4,1;5;6;7,6;5,77;
2017-12-27;4;3,6;4;4;5,6;4,11;
2017-12-28;4;3;4;4;4,6;3,57;
2017-12-29;4;4,3;4;4;4,4;3,85;
2017-12-30;3;2,7;2;3;4,6;3,83;
2017-12-31;6;4;5;6;4,3;6,64;
2018-01-01;6;5;5;6;5,6;6,91;
2018-01-02;5;4,6;5;5;6,3;4,97;
2018-01-03;3;1,7;2;5;5,4;5,11;
2018-01-04;4;2,9;3;3;4,2;4,14;
2018-01-05;3;;3;3;4,2;2,77;
2018-01-06;2;;2;1;3,4;1,64;
2018-01-07;-1;-0,3;0;-1;2,6;0,41;
2018-01-08;1;1,3;3;1;2,4;1,93;
2018-01-09;3;3,5;3;3;4;3,28;
2018-01-10;4;3,1;4;3;5,5;3,17;
2018-01-11;4;;4;4;4;2,42;
2018-01-12;2;;;;;;
2018-01-13;1;;;;;;
2018-01-14;0;;;;;;
2018-01-15;1;;;;;;
2018-01-16;3;3,9;4;1;3,9;2,81;
2018-01-17;2;;2;1;2,7;1,84;
2018-01-18;1;2,6;2;1;2;2,54;
2018-01-19;2;1,8;2;1;2;1,84;
2018-01-20;1;3,8;2;1;1,7;2,17;
2018-01-21;1;;1;1;1,8;2,13;
2018-01-22;1;;;;;;
2018-01-23;2;;;;;;
2018-01-24;9;;;;;;
2018-01-25;7;;;;;;
2018-01-26;5;;;;;;
2018-01-27;4;5,2;3;6;3,5;4,79;
2018-01-28;6;7;6;6;3,5;6,16;
2018-01-29;8;7,4;8;8;6,1;7,15;
2018-01-30;5;5,6;6;5;7,2;6,02;
2018-01-31;3;3,8;2;3;4,7;5,37;
2018-02-01;4;3,7;4;4;4,9;4,27;
2018-02-02;3;;3;2;4;2,81;
2018-02-03;-1;;1;0;0,9;1,23;
2018-02-04;0;;0;0;0,9;1,62;
2017-03-11;;5,7;;;;;
2017-03-18;;3,5;;;;;
2017-05-28;;26,4;;;;;
2017-06-21;;19,4;;;;;
2017-07-12;;17,4;;;;;
2017-07-21;;18,3;;;;;
2017-09-24;;17,7;;;;;
